variant,algorithm,configuration,k,n_clusters,noise_share,min_cluster_share,silhouette,davies_bouldin,calinski_harabasz,eligible,initialization_stability_ari_mean,initialization_stability_nmi_mean,ahc_subsample_stability_ari_mean,ahc_subsample_stability_nmi_mean,cluster_persistence,min_cluster_size,min_samples,cluster_selection_method,relative_validity_dbcv
primary,KMeans,k=2,2.0,2,0.0,0.4383113760938552,0.1570757387941181,2.1506672515917944,2080.6800194073858,True,0.9975584725072036,0.9931082573332196,,,,,,,
primary,KMeans,k=3,3.0,3,0.0,0.219924992787768,0.1605140292188835,1.9260192690831,1851.3997634054792,True,0.997212350492393,0.9937210396436852,,,,,,,
primary,KMeans,k=4,4.0,4,0.0,0.1898259448023848,0.1599946500506895,1.7489280336577386,1752.3889515363396,True,0.9981027210330822,0.996267108515252,,,,,,,
primary,KMeans,k=5,5.0,5,0.0,0.1202038657563227,0.1432280742926157,1.7693690470936771,1606.02699255765,True,0.996316460016266,0.993310825627624,,,,,,,
primary,KMeans,k=6,6.0,6,0.0,0.0603904221559765,0.1445176431683981,1.7233717934182164,1476.6757166591703,True,0.9953036646471614,0.9927326080351528,,,,,,,
primary,KMeans,k=7,7.0,7,0.0,0.0618328685450524,0.135176738657302,1.786842504550009,1365.7863990091764,True,0.9831881557701524,0.9804173066969482,,,,,,,
primary,KMeans,k=8,8.0,8,0.0,0.0623136840080777,0.1232488246912612,1.8836010846741225,1261.925944600033,True,0.9547460823580952,0.949336558997393,,,,,,,
primary,KMeans,k=9,9.0,9,0.0,0.0592364650447158,0.1214447722357858,1.8340315194871952,1184.688050454854,True,0.8716217111488758,0.8922501421992071,,,,,,,
primary,KMeans,k=10,10.0,10,0.0,0.0511587652658909,0.1194864174880784,1.8856952273901804,1116.9358002793342,True,0.9053452454360392,0.9205472142450492,,,,,,,
primary,AHC,k=2,2.0,2,0.0,0.2263679199923069,0.1473397571116275,2.0832266014471195,1442.4839634340683,True,,,0.2126909900880201,0.2887558137265118,,,,,
primary,AHC,k=3,3.0,3,0.0,0.2263679199923069,0.1162712809736936,2.266887749231361,1457.6343429056706,True,,,0.4394371161068232,0.5236229281279301,,,,,
primary,AHC,k=4,4.0,4,0.0,0.1082796422732955,0.1276654015946672,1.9882422046973147,1437.7671321620082,True,,,0.4458178408130092,0.5145886182618052,,,,,
primary,AHC,k=5,5.0,5,0.0,0.1082796422732955,0.1055428192563715,2.03974487046018,1286.2147697300084,True,,,0.4651653223231016,0.5317105872761374,,,,,
primary,AHC,k=6,6.0,6,0.0,0.0786614097509375,0.1059277694036602,1.9878072467285208,1206.3137591060558,True,,,0.4478738509918645,0.5603395805999152,,,,,
primary,AHC,k=7,7.0,7,0.0,0.0786614097509375,0.0933215761225178,2.0601414238709626,1152.7018837324997,True,,,0.5178878763842122,0.5947234327458388,,,,,
primary,AHC,k=8,8.0,8,0.0,0.0631791518415232,0.0836931310278122,2.0029098892913018,1061.7198762379896,True,,,0.4942111789110904,0.6032216172722458,,,,,
