feature,source_variable,group,transformation
median_income,median_income,contextual,StandardScaler
poverty_rate,poverty_rate,contextual,StandardScaler
unemployment_rate,unemployment_rate,contextual,StandardScaler
gini_index,gini_index,contextual,StandardScaler
bachelor_plus_rate,bachelor_plus_rate,contextual,StandardScaler
less_than_highschool_rate,less_than_highschool_rate,contextual,StandardScaler
black_pct,black_pct,contextual,StandardScaler
hispanic_pct,hispanic_pct,contextual,StandardScaler
youth_pct,youth_pct,contextual,StandardScaler
population_density,population_density,contextual,log1p + StandardScaler
land_area_sqmi,land_area_sqmi,contextual,log1p + StandardScaler
age_group_Adult (30-44),age_group,categorical,one-hot × 1/sqrt(2)
age_group_Child (0-17),age_group,categorical,one-hot × 1/sqrt(2)
age_group_Middle Age (45-59),age_group,categorical,one-hot × 1/sqrt(2)
age_group_Senior (60+),age_group,categorical,one-hot × 1/sqrt(2)
age_group_Young Adult (18-29),age_group,categorical,one-hot × 1/sqrt(2)
gender_Unknown,gender,categorical,one-hot × 1/sqrt(2)
gender_female,gender,categorical,one-hot × 1/sqrt(2)
gender_male,gender,categorical,one-hot × 1/sqrt(2)
gender_non-binary,gender,categorical,one-hot × 1/sqrt(2)
race_Asian,race,categorical,one-hot × 1/sqrt(2)
race_Black,race,categorical,one-hot × 1/sqrt(2)
race_Hispanic,race,categorical,one-hot × 1/sqrt(2)
race_Multiracial,race,categorical,one-hot × 1/sqrt(2)
race_Native,race,categorical,one-hot × 1/sqrt(2)
race_Other,race,categorical,one-hot × 1/sqrt(2)
race_Unknown,race,categorical,one-hot × 1/sqrt(2)
race_White,race,categorical,one-hot × 1/sqrt(2)
armed_with_Blunt Object,armed_with,categorical,one-hot × 1/sqrt(2)
armed_with_Gun,armed_with,categorical,one-hot × 1/sqrt(2)
armed_with_Knife,armed_with,categorical,one-hot × 1/sqrt(2)
armed_with_Missing,armed_with,categorical,one-hot × 1/sqrt(2)
armed_with_Multiple Weapons,armed_with,categorical,one-hot × 1/sqrt(2)
armed_with_Other,armed_with,categorical,one-hot × 1/sqrt(2)
armed_with_Replica,armed_with,categorical,one-hot × 1/sqrt(2)
armed_with_Unarmed,armed_with,categorical,one-hot × 1/sqrt(2)
armed_with_Unclear Weapon Information,armed_with,categorical,one-hot × 1/sqrt(2)
armed_with_Vehicle,armed_with,categorical,one-hot × 1/sqrt(2)
threat_type_Accident,threat_type,categorical,one-hot × 1/sqrt(2)
threat_type_Attack,threat_type,categorical,one-hot × 1/sqrt(2)
threat_type_Flee,threat_type,categorical,one-hot × 1/sqrt(2)
threat_type_Move,threat_type,categorical,one-hot × 1/sqrt(2)
threat_type_Point,threat_type,categorical,one-hot × 1/sqrt(2)
threat_type_Shoot,threat_type,categorical,one-hot × 1/sqrt(2)
threat_type_Threat,threat_type,categorical,one-hot × 1/sqrt(2)
threat_type_Unclear Threat,threat_type,categorical,one-hot × 1/sqrt(2)
flee_status_Foot,flee_status,categorical,one-hot × 1/sqrt(2)
flee_status_Missing,flee_status,categorical,one-hot × 1/sqrt(2)
flee_status_Not Fleeing,flee_status,categorical,one-hot × 1/sqrt(2)
flee_status_Vehicle,flee_status,categorical,one-hot × 1/sqrt(2)
was_mental_illness_related,was_mental_illness_related,binary,0/1
body_camera,body_camera,binary,0/1
