display_record,year,state,armed_with,threat_type,flee_status,body_camera,median_income,poverty_rate,unemployment_rate,gini_index,bachelor_plus_rate,less_than_highschool_rate,population_density,land_area_sqmi,primary_cluster,profile_name
Incident record 00001,2015,WA,Gun,Point,Not Fleeing,0,50406.0,0.1719698891990188,0.1292300436269307,0.429,0.1773570411875014,0.124104742323942,63.35345728688254,959.553,1,"Lower-income rural, older/White-composition profile"
Incident record 00002,2015,OR,Gun,Point,Not Fleeing,0,70447.0,0.1059615699287595,0.0620570260789201,0.4354,0.4256375553351122,0.0914198855232836,792.9700444032076,724.272,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00003,2015,KS,Unarmed,Move,Not Fleeing,0,50840.0,0.1513993349695194,0.0467375273356049,0.4641,0.276669409649203,0.1139373990430038,513.1128253632644,997.001,1,"Lower-income rural, older/White-composition profile"
Incident record 00004,2015,CA,Replica,Point,Not Fleeing,0,92094.0,0.1234926712688148,0.051044409667232,0.5208,0.5515610079245884,0.1239798134307077,18524.493948805823,46.685,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00005,2015,CO,Other,Point,Not Fleeing,0,70256.0,0.1127665518204674,0.0447742767390499,0.3993,0.2593728168904758,0.1289739523846486,71.5626111994154,3984.958,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00006,2015,OK,Gun,Attack,Not Fleeing,0,55299.0,0.1148439859668688,0.060499374623616,0.4677,0.26055126345265,0.0968590803279241,59.82364710058408,743.736,1,"Lower-income rural, older/White-composition profile"
Incident record 00007,2015,AZ,Gun,Shoot,Vehicle,0,56004.0,0.1628234085543816,0.0559824904384855,0.4716,0.3064198312343983,0.1324863208850896,452.9384647885855,9202.016,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00008,2015,KS,Gun,Point,Not Fleeing,0,47801.0,0.1607776463630987,0.0496475327291037,0.4428,0.233979786943458,0.1021578803605572,77.38371269656588,720.242,1,"Lower-income rural, older/White-composition profile"
Incident record 00009,2015,IA,Unarmed,Accident,Not Fleeing,1,44423.0,0.152194281951936,0.0633781763826606,0.4358,0.2002574738950078,0.0863967958804176,96.62388345921576,416.129,1,"Lower-income rural, older/White-composition profile"
Incident record 00010,2015,PA,Replica,Point,Not Fleeing,0,54467.0,0.1234034803689381,0.0560180042195497,0.4895,0.3966428570621667,0.0650236043817504,1685.671112621104,729.952,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00011,2015,CA,Knife,Attack,Not Fleeing,0,53705.0,0.1738631640436311,0.1113207547169811,0.452,0.1882603829316591,0.2190366440828382,521.5387024344975,1392.238,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00012,2015,TX,Gun,Point,Not Fleeing,0,71251.0,0.1050110095816359,0.0560168618050006,0.4409,0.304347440215486,0.1362896104299515,254.0274014403434,1363.286,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00013,2015,OH,Knife,Threat,Not Fleeing,0,53882.0,0.1711650078343963,0.0592847015072184,0.4759,0.3850626327767979,0.0955151349018278,2351.009261502689,532.419,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00014,2015,IA,Gun,Point,Vehicle,0,60176.0,0.1203352050254606,0.0574787770084892,0.45,0.3494552046312479,0.0892171449733937,816.6486241095124,572.72,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00015,2015,LA,Gun,Shoot,Foot,1,39077.0,0.23402120234411,0.0853367290312351,0.5636,0.3598621257331001,0.1396932371055223,2298.6253687315634,169.5,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00016,2015,MT,Missing,Unclear Threat,Not Fleeing,0,58026.0,0.091697169430369,0.0315245103369944,0.4405,0.2978495425153271,0.060870618489462,59.636971215918585,2633.4,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00017,2015,UT,Blunt Object,Attack,Not Fleeing,1,65694.0,0.1043101091084674,0.0381967918382398,0.4302,0.3304434792215419,0.0986867735389374,1470.8256071578478,752.852,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00018,2015,AR,Unarmed,Attack,Not Fleeing,0,38678.0,0.204090806922904,0.0969693636213629,0.4659,0.1752387152777778,0.1656177662037037,39.10527425084234,1039.067,1,"Lower-income rural, older/White-composition profile"
Incident record 00019,2015,UT,Gun,Shoot,Not Fleeing,1,72016.0,0.0666897668277703,0.0325516189726625,0.3802,0.3617994741527441,0.0539407490217998,1034.764882849427,324.753,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00020,2015,AR,Gun,Shoot,Not Fleeing,0,53631.0,0.1243974654213093,0.0591700291579536,0.3862,0.1913032094778871,0.1280954770580149,91.60152023459194,771.723,1,"Lower-income rural, older/White-composition profile"
Incident record 00021,2015,TX,Gun,Point,Not Fleeing,0,43692.0,0.2010452287244338,0.0643008986243652,0.4405,0.2280393750135922,0.2259951008594255,824.4424163192817,1013.525,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00022,2015,IL,Gun,Point,Not Fleeing,0,51810.0,0.1028213485434915,0.0606604808939439,0.4183,0.177742375967228,0.1605219238355333,47.58430337213489,416.65,1,"Lower-income rural, older/White-composition profile"
Incident record 00023,2015,CA,Gun,Point,Not Fleeing,0,59134.0,0.1664485773538878,0.0717382754447437,0.4992,0.3084713213136524,0.2190543804221724,2504.841322734981,4060.254,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00024,2015,NV,Gun,Point,Foot,0,51552.0,0.1509597367294746,0.0834844165743249,0.4604,0.2309692375383595,0.1487625273946586,267.9791998161097,7891.661,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00025,2015,NM,Gun,Shoot,Foot,1,47747.0,0.1998065567094278,0.0661006414550106,0.4811,0.3212605217755006,0.1295550792074031,582.7237146338629,1161.245,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00026,2015,TX,Knife,Threat,Not Fleeing,0,52192.0,0.1640646870087642,0.0650159146227298,0.4335,0.1403798792213488,0.2417597247056442,38.58005710340439,1219.542,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00027,2015,MN,Missing,Attack,Not Fleeing,0,57384.0,0.1505855064502038,0.0554503752561649,0.4539,0.4169165104850107,0.0977636285471031,3534.372803877654,152.257,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00028,2015,MO,Missing,Attack,Not Fleeing,0,48480.0,0.1186848356541531,0.0718359352497263,0.4301,0.1860360946147066,0.1341916280145072,110.36064351392244,922.684,1,"Lower-income rural, older/White-composition profile"
