matcher,context_scenario,armed_with,threat_type,flee_status,body_camera,closest_cluster,first_distance,second_distance,first_vs_second_margin,distance_cluster_0,distance_cluster_1,distance_cluster_2,distance_cluster_3
Original four-input matcher,Neutral reference,Blunt Object,Accident,Foot,False,3,2.3410604098285765,2.352428537203139,0.011368127374562498,2.6238194414700393,2.352428537203139,2.788068845665171,2.3410604098285765
Original four-input matcher,Neutral reference,Blunt Object,Accident,Foot,True,3,2.4584638667802654,2.5207508743888587,0.06228700760859329,2.732805505298644,2.5207508743888587,2.9027912646579264,2.4584638667802654
Original four-input matcher,Neutral reference,Blunt Object,Accident,Missing,False,3,2.32927019653328,2.3440426292892327,0.014772432755952636,2.632008061560544,2.3440426292892327,2.794640675523434,2.32927019653328
Original four-input matcher,Neutral reference,Blunt Object,Accident,Missing,True,3,2.4472393406153836,2.512926739085259,0.06568739846987537,2.740668514153823,2.512926739085259,2.909103941645214,2.4472393406153836
Original four-input matcher,Neutral reference,Blunt Object,Accident,Not Fleeing,False,3,2.253440942675085,2.2562511026132115,0.0028101599381264997,2.548739694644473,2.2562511026132115,2.7191435804364126,2.253440942675085
Original four-input matcher,Neutral reference,Blunt Object,Accident,Not Fleeing,True,3,2.3751793245820005,2.431241243917976,0.056061919335975485,2.6608027922810873,2.431241243917976,2.836654904819089,2.3751793245820005
Original four-input matcher,Neutral reference,Blunt Object,Accident,Vehicle,False,3,2.325347290053015,2.3312536348362767,0.0059063447832614635,2.6210198238724467,2.3312536348362767,2.77885909998619,2.325347290053015
Original four-input matcher,Neutral reference,Blunt Object,Accident,Vehicle,True,3,2.4435058340741347,2.501001491007522,0.057495656933387096,2.7301176504844586,2.501001491007522,2.893946636616111,2.4435058340741347
Original four-input matcher,Neutral reference,Blunt Object,Attack,Foot,False,3,2.31267525566975,2.3241011123441297,0.011425856674379897,2.5963700279805346,2.3241011123441297,2.76136964548841,2.31267525566975
Original four-input matcher,Neutral reference,Blunt Object,Attack,Foot,True,3,2.431449686912023,2.4943357689941656,0.06288608208214264,2.706461673578636,2.4943357689941656,2.877156853046151,2.431449686912023
Original four-input matcher,Neutral reference,Blunt Object,Attack,Missing,False,3,2.300739586345787,2.315612619951079,0.014873033605292019,2.604644946413846,2.315612619951079,2.7680048656290586,2.300739586345787
Original four-input matcher,Neutral reference,Blunt Object,Attack,Missing,True,3,2.4200998710747488,2.4864285137041837,0.06632864262943494,2.714400995658824,2.4864285137041837,2.883525649990266,2.4200998710747488
Original four-input matcher,Neutral reference,Blunt Object,Attack,Not Fleeing,False,3,2.2239377414497863,2.226700472850997,0.0027627314012108606,2.520472751651145,2.226700472850997,2.6917608069597527,2.2239377414497863
Original four-input matcher,Neutral reference,Blunt Object,Attack,Not Fleeing,True,3,2.3472068122860854,2.4038427452475646,0.056635932961479174,2.633738855727789,2.4038427452475646,2.8104173141884576,2.3472068122860854
Original four-input matcher,Neutral reference,Blunt Object,Attack,Vehicle,False,3,2.2967679497670854,2.3026657307757183,0.0058977810086329185,2.5935407800711068,2.3026657307757183,2.752070552953199,2.2967679497670854
Original four-input matcher,Neutral reference,Blunt Object,Attack,Vehicle,True,3,2.4163244312125665,2.474375560777581,0.05805112956501457,2.7037476299104313,2.474375560777581,2.868233178533044,2.4163244312125665
Original four-input matcher,Neutral reference,Blunt Object,Flee,Foot,False,3,2.337401428977121,2.350220611355248,0.012819182378126737,2.622178648852789,2.350220611355248,2.7855370903263132,2.337401428977121
Original four-input matcher,Neutral reference,Blunt Object,Flee,Foot,True,3,2.454979874048201,2.5186905070142163,0.06371063296601509,2.7312301870867404,2.5186905070142163,2.9003596534894127,2.454979874048201
Original four-input matcher,Neutral reference,Blunt Object,Flee,Missing,False,3,2.325592665574892,2.3418267970361333,0.016234131461241308,2.6303723769046434,2.3418267970361333,2.7921148792098327,2.325592665574892
Original four-input matcher,Neutral reference,Blunt Object,Flee,Missing,True,3,2.443739345342126,2.510859951371444,0.06712060602931791,2.7390977181432237,2.510859951371444,2.906677611416612,2.443739345342126
Original four-input matcher,Neutral reference,Blunt Object,Flee,Not Fleeing,False,3,2.2496394555221335,2.2539489651353395,0.004309509613205975,2.5470505366246057,2.2539489651353395,2.7165475892101383,2.2496394555221335
Original four-input matcher,Neutral reference,Blunt Object,Flee,Not Fleeing,True,3,2.371572984674803,2.429104955640897,0.05753197096609375,2.6591848195404024,2.429104955640897,2.8341665516424857,2.371572984674803
Original four-input matcher,Neutral reference,Blunt Object,Flee,Vehicle,False,3,2.321663545192207,2.3290256351806624,0.007362089988455445,2.619377277559619,2.3290256351806624,2.776318946193128,2.321663545192207
Original four-input matcher,Neutral reference,Blunt Object,Flee,Vehicle,True,3,2.440000483375337,2.498924840288956,0.05892435691361886,2.728540780444755,2.498924840288956,2.8915075875737495,2.440000483375337
Original four-input matcher,Neutral reference,Blunt Object,Move,Foot,False,3,2.3272482736491256,2.3434315744883603,0.016183300839234693,2.6160890910521806,2.3434315744883603,2.778097297720243,2.3272482736491256
Original four-input matcher,Neutral reference,Blunt Object,Move,Foot,True,3,2.4453149631489737,2.5123567605723296,0.06704179742335592,2.725384303300482,2.5123567605723296,2.8932151378019157,2.4453149631489737
Original four-input matcher,Neutral reference,Blunt Object,Move,Missing,False,3,2.3153877284796764,2.3350133553336425,0.01962562685396607,2.6243018322985963,2.3350133553336425,2.7846926603705966,2.3153877284796764
Original four-input matcher,Neutral reference,Blunt Object,Move,Missing,True,3,2.4340298015824926,2.504506402002393,0.07047660041990023,2.733268661394302,2.504506402002393,2.8995486632797722,2.4340298015824926
Original four-input matcher,Neutral reference,Blunt Object,Move,Not Fleeing,False,3,2.2390883785282947,2.246869057089137,0.007780678560842524,2.5407809236418784,2.246869057089137,2.70891832997238,2.2390883785282947
