year,state,armed_with,threat_type,flee_status,body_camera
2015,WA,Gun,Point,Not Fleeing,0
2015,OR,Gun,Point,Not Fleeing,0
2015,KS,Unarmed,Move,Not Fleeing,0
2015,CA,Replica,Point,Not Fleeing,0
2015,CO,Other,Point,Not Fleeing,0
2015,OK,Gun,Attack,Not Fleeing,0
2015,AZ,Gun,Shoot,Vehicle,0
2015,KS,Gun,Point,Not Fleeing,0
2015,IA,Unarmed,Accident,Not Fleeing,1
2015,PA,Replica,Point,Not Fleeing,0
2015,CA,Knife,Attack,Not Fleeing,0
2015,TX,Gun,Point,Not Fleeing,0
2015,OH,Knife,Threat,Not Fleeing,0
2015,IA,Gun,Point,Vehicle,0
2015,LA,Gun,Shoot,Foot,1
2015,MT,Missing,Unclear Threat,Not Fleeing,0
2015,UT,Blunt Object,Attack,Not Fleeing,1
2015,AR,Unarmed,Attack,Not Fleeing,0
2015,UT,Gun,Shoot,Not Fleeing,1
2015,AR,Gun,Shoot,Not Fleeing,0
2015,TX,Gun,Point,Not Fleeing,0
2015,IL,Gun,Point,Not Fleeing,0
2015,CA,Gun,Point,Not Fleeing,0
2015,NV,Gun,Point,Foot,0
2015,NM,Gun,Shoot,Foot,1
2015,TX,Knife,Threat,Not Fleeing,0
2015,MN,Missing,Attack,Not Fleeing,0
2015,MO,Missing,Attack,Not Fleeing,0
2015,VA,Gun,Shoot,Not Fleeing,0
2015,NJ,Knife,Attack,Not Fleeing,0
2015,TX,Gun,Point,Not Fleeing,0
2015,UT,Knife,Attack,Not Fleeing,1
2015,IN,Gun,Shoot,Foot,0
2015,CO,Gun,Point,Not Fleeing,0
2015,MN,Gun,Point,Not Fleeing,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,LA,Gun,Point,Not Fleeing,0
2015,TX,Gun,Shoot,Vehicle,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,OK,Gun,Point,Foot,1
2015,CA,Gun,Point,Not Fleeing,0
2015,TX,Knife,Attack,Not Fleeing,0
2015,AZ,Gun,Point,Not Fleeing,0
2015,KY,Gun,Point,Not Fleeing,0
2015,MA,Knife,Attack,Not Fleeing,0
2015,AZ,Missing,Threat,Vehicle,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,TX,Gun,Shoot,Foot,0
2015,MO,Gun,Point,Not Fleeing,0
2015,NH,Gun,Shoot,Not Fleeing,0
2015,TX,Replica,Point,Vehicle,0
2015,TX,Knife,Threat,Not Fleeing,0
2015,FL,Missing,Threat,Not Fleeing,0
2015,TX,Knife,Threat,Not Fleeing,0
2015,TX,Gun,Point,Not Fleeing,0
2015,ID,Gun,Shoot,Not Fleeing,0
2015,MD,Knife,Threat,Not Fleeing,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,CO,Gun,Shoot,Vehicle,0
2015,NJ,Gun,Point,Not Fleeing,0
2015,CO,Vehicle,Threat,Not Fleeing,0
2015,MN,Gun,Shoot,Not Fleeing,0
2015,TX,Unarmed,Flee,Vehicle,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,NE,Knife,Attack,Not Fleeing,0
2015,AZ,Missing,Threat,Not Fleeing,0
2015,AZ,Gun,Shoot,Not Fleeing,0
2015,OH,Gun,Shoot,Not Fleeing,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,CA,Blunt Object,Attack,Not Fleeing,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,MI,Gun,Shoot,Not Fleeing,0
2015,OK,Unarmed,Move,Foot,0
2015,MT,Gun,Point,Foot,0
2015,TX,Gun,Point,Not Fleeing,0
2015,MD,Knife,Threat,Not Fleeing,0
2015,PA,Unarmed,Flee,Foot,0
2015,CA,Gun,Shoot,Not Fleeing,0
2015,MI,Gun,Shoot,Not Fleeing,0
2015,MO,Gun,Point,Foot,0
2015,CA,Gun,Point,Vehicle,0
2015,CA,Knife,Threat,Not Fleeing,0
2015,GA,Gun,Point,Not Fleeing,0
2015,FL,Unarmed,Attack,Not Fleeing,0
2015,FL,Gun,Point,Not Fleeing,0
2015,AZ,Gun,Point,Vehicle,0
2015,AZ,Unarmed,Accident,Not Fleeing,0
2015,TX,Gun,Point,Vehicle,0
2015,TN,Knife,Threat,Not Fleeing,0
2015,CA,Replica,Flee,Vehicle,0
2015,OK,Gun,Shoot,Not Fleeing,0
2015,CA,Replica,Point,Not Fleeing,0
2015,NC,Gun,Point,Not Fleeing,0
2015,AK,Gun,Shoot,Vehicle,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,NY,Gun,Shoot,Not Fleeing,0
2015,FL,Gun,Shoot,Not Fleeing,0
2015,TX,Gun,Point,Not Fleeing,0
2015,ME,Gun,Point,Not Fleeing,0
2015,TX,Gun,Shoot,Not Fleeing,0
2015,WA,Unarmed,Flee,Foot,0
2015,TN,Gun,Point,Not Fleeing,0
2015,CO,Gun,Point,Vehicle,0
